model,validation_period,n,mae,rmse,variable
naive,2026-01 to 2026-06,6,3.3171581613107293,3.6735548190827645,PM2.5
seasonal_naive,2026-01 to 2026-06,6,2.1513322687434613,2.6524738864220336,PM2.5
arima,2026-01 to 2026-06,6,3.300543894504012,3.6586170123533255,PM2.5
prophet_additive,2026-01 to 2026-06,6,2.1346423945915194,2.743654388385068,PM2.5
random_forest,2026-01 to 2026-06,6,1.8752349246204147,2.219260737710426,PM2.5
naive,2026-01 to 2026-06,6,3.7885171906074446,4.11297393119411,PM10
seasonal_naive,2026-01 to 2026-06,6,2.545480385237409,3.1323426255030378,PM10
arima,2026-01 to 2026-06,6,3.7983216129669564,4.122179057835981,PM10
prophet_additive,2026-01 to 2026-06,6,2.9397191323894964,3.477003632599917,PM10
random_forest,2026-01 to 2026-06,6,2.5054468640228373,3.094385135451275,PM10
